run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time,unseen_rate
20260510_164938,LSTM,SWAT,42,original,0.0,1.0,0.0,0.0,3.786,0.084898,
20260510_164938,LSTM,SWAT,42,noisy,0.0,1.0,0.0,0.0,4.336,0.093872,
20260510_164938,GRU,SWAT,42,original,0.0,1.0,0.0,0.0,6.802,0.106061,
20260510_164938,GRU,SWAT,42,noisy,0.0,1.0,0.0,0.0,6.719,0.118784,
20260510_164938,CNN1D,SWAT,42,original,0.0,1.0,0.0,0.0,3.678,0.091699,
20260510_164938,CNN1D,SWAT,42,noisy,0.0,1.0,0.0,0.0,3.412,0.093734,
20260510_164938,Automata,SWAT,42,original,0.0,0.9549,0.0,0.0,0.472,0.151321,
20260510_164938,Automata,SWAT,42,noisy,0.0,0.9236,0.0,0.0,0.431,0.133184,
20260510_164938,Automata,SWAT,42,unseen,0.0,0.9549,0.0,0.0,0.383,0.13666,0.0
20260510_164938,LSTM,WADI,42,original,0.0,0.9425,0.0,0.0,41.103,0.975563,
20260510_164938,LSTM,WADI,42,noisy,0.0,0.9425,0.0,0.0,46.665,0.81781,
20260510_164938,GRU,WADI,42,original,0.0,0.9425,0.0,0.0,44.701,1.124854,
20260510_164938,GRU,WADI,42,noisy,0.0,0.9425,0.0,0.0,51.629,1.372801,
20260510_164938,CNN1D,WADI,42,original,0.0,0.9425,0.0,0.0,35.918,0.818014,
20260510_164938,CNN1D,WADI,42,noisy,0.0,0.9425,0.0,0.0,27.57,0.915514,
20260510_164938,Automata,WADI,42,original,0.0,1.0,0.0,0.0,3.946,1.37463,
20260510_164938,Automata,WADI,42,noisy,0.0,1.0,0.0,0.0,3.877,1.377019,
20260510_164938,Automata,WADI,42,unseen,0.0,1.0,0.0,0.0,3.973,1.296142,0.0
