run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time
20260517_162244,LSTM,SWAT,42,original,0.0,0.9465,0.0,0.0,1.723,0.009258
20260517_162244,GRU,SWAT,42,original,0.0,0.9457,0.0,0.0,1.094,0.006744
20260517_162244,CNN1D,SWAT,42,original,0.0,0.9507,0.0,0.0,5.747,0.016924
20260517_162244,Automata,SWAT,42,original,0.0,0.9459,0.0,0.0,0.466,0.158141
20260517_162244,LSTM,SWAT,123,original,0.0,0.9469,0.0,0.0,1.727,0.010344
20260517_162244,GRU,SWAT,123,original,0.0,0.9472,0.0,0.0,1.035,0.006486
20260517_162244,CNN1D,SWAT,123,original,0.0,0.9459,0.0,0.0,5.26,0.017861
20260517_162244,Automata,SWAT,123,original,0.0,0.9459,0.0,0.0,0.468,0.158224
20260517_162244,LSTM,WADI,42,original,0.0706,0.0366,0.0366,1.0,28.653,0.140028
20260517_162244,GRU,WADI,42,original,0.0706,0.0366,0.0366,1.0,31.334,0.112308
20260517_162244,CNN1D,WADI,42,original,0.0706,0.0366,0.0366,1.0,169.162,0.230427
20260517_162244,Automata,WADI,42,original,0.0,0.9634,0.0,0.0,4.23,1.433179
20260517_162244,LSTM,WADI,123,original,0.0706,0.0366,0.0366,1.0,36.053,0.144476
20260517_162244,GRU,WADI,123,original,0.0706,0.0366,0.0366,1.0,22.033,0.095261
20260517_162244,CNN1D,WADI,123,original,0.0706,0.0366,0.0366,1.0,120.469,0.262823
20260517_162244,Automata,WADI,123,original,0.0,0.9634,0.0,0.0,5.065,1.857773
