run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time
20260517_172751_table3,Automata,SWAT->WADI,42,original,0.0049,0.9597,0.0096,0.0033,0.781,0.46619
20260517_172751_table3,LSTM,SWAT->WADI,42,original,0.0266,0.9707,0.8,0.0135,1.287,0.02431
20260517_172751_table3,GRU,SWAT->WADI,42,original,0.0134,0.9706,1.0,0.0068,0.531,0.006452
20260517_172751_table3,CNN1D,SWAT->WADI,42,original,0.0331,0.9708,0.8333,0.0169,5.189,0.080582
20260517_172751_table3,Automata,WADI->SWAT,42,original,0.0,0.0998,0.0,0.0,2.372,0.367928
20260517_172751_table3,LSTM,WADI->SWAT,42,original,0.0,1.0,0.0,0.0,4.523,0.009028
20260517_172751_table3,GRU,WADI->SWAT,42,original,0.0,1.0,0.0,0.0,2.027,0.007592
20260517_172751_table3,CNN1D,WADI->SWAT,42,original,0.0,1.0,0.0,0.0,9.037,0.027481
