run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time,unseen_rate
20260510_173907,LSTM,SWAT,42,original,0.0,1.0,0.0,0.0,4.018,0.081069,
20260510_173907,LSTM,SWAT,42,noisy,0.0,1.0,0.0,0.0,3.976,0.091055,
20260510_173907,GRU,SWAT,42,original,0.0,1.0,0.0,0.0,6.59,0.117125,
20260510_173907,GRU,SWAT,42,noisy,0.0,1.0,0.0,0.0,6.492,0.121622,
20260510_173907,CNN1D,SWAT,42,original,0.0,1.0,0.0,0.0,3.522,0.092914,
20260510_173907,CNN1D,SWAT,42,noisy,0.0,1.0,0.0,0.0,3.479,0.092741,
20260510_173907,Automata,SWAT,42,original,0.0,0.9444,0.0,0.0,0.483,0.219127,
20260510_173907,Automata,SWAT,42,noisy,0.0,0.8958,0.0,0.0,0.494,0.166702,
20260510_173907,Automata,SWAT,42,unseen,0.0,0.9444,0.0,0.0,0.499,0.139973,0.0
20260510_173907,LSTM,WADI,42,original,0.0,0.9425,0.0,0.0,40.452,0.928401,
20260510_173907,LSTM,WADI,42,noisy,0.0,0.9425,0.0,0.0,41.117,0.932246,
20260510_173907,GRU,WADI,42,original,0.0,0.9425,0.0,0.0,52.939,1.300677,
20260510_173907,GRU,WADI,42,noisy,0.0,0.9425,0.0,0.0,54.807,1.319025,
20260510_173907,CNN1D,WADI,42,original,0.0,0.9425,0.0,0.0,36.525,0.978424,
20260510_173907,CNN1D,WADI,42,noisy,0.0,0.9425,0.0,0.0,29.186,0.905876,
20260510_173907,Automata,WADI,42,original,0.0,1.0,0.0,0.0,4.263,1.784985,
20260510_173907,Automata,WADI,42,noisy,0.0,1.0,0.0,0.0,5.101,1.958654,
20260510_173907,Automata,WADI,42,unseen,0.0,1.0,0.0,0.0,5.344,1.759982,0.0
