run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time,unseen_rate
20260510_132548,LSTM,SWAT,42,original,0.0,1.0,0.0,0.0,18.886,0.267783,
20260510_132548,LSTM,SWAT,42,noisy,0.0,1.0,0.0,0.0,18.938,0.267615,
20260510_132548,GRU,SWAT,42,original,0.0,1.0,0.0,0.0,39.342,0.543051,
20260510_132548,GRU,SWAT,42,noisy,0.0,1.0,0.0,0.0,39.421,0.579513,
20260510_132548,CNN1D,SWAT,42,original,0.0,1.0,0.0,0.0,6.319,0.152974,
20260510_132548,CNN1D,SWAT,42,noisy,0.0,1.0,0.0,0.0,6.212,0.157396,
20260510_132548,Automata,SWAT,42,original,0.0,0.9549,0.0,0.0,0.487,0.140986,
20260510_132548,Automata,SWAT,42,noisy,0.0,0.9236,0.0,0.0,0.413,0.139613,
20260510_132548,Automata,SWAT,42,unseen,0.0,0.9549,0.0,0.0,0.414,0.136778,0.0
20260510_132548,LSTM,WADI,42,original,0.0,0.9423,0.0,0.0,96.181,10.568389,
20260510_132548,LSTM,WADI,42,noisy,0.0,0.9423,0.0,0.0,92.328,9.510667,
20260510_132548,GRU,WADI,42,original,0.0,0.9423,0.0,0.0,174.318,21.238014,
20260510_132548,GRU,WADI,42,noisy,0.0,0.9423,0.0,0.0,177.578,20.673028,
20260510_132548,CNN1D,WADI,42,original,0.0,0.9423,0.0,0.0,31.285,5.133893,
20260510_132548,CNN1D,WADI,42,noisy,0.0,0.9423,0.0,0.0,30.514,5.063094,
20260510_132548,Automata,WADI,42,original,0.0,0.8069,0.0,0.0,1.969,4.82747,
20260510_132548,Automata,WADI,42,noisy,0.0,0.8009,0.0,0.0,1.931,4.478037,
20260510_132548,Automata,WADI,42,unseen,0.0,0.8069,0.0,0.0,1.981,4.370078,0.0
