run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time
20260517_170730,LSTM,SWAT,42,original,0.0,0.9462,0.0,0.0,4.351,0.032665
20260517_170730,GRU,SWAT,42,original,0.0,0.956,0.0,0.0,1.792,0.009675
20260517_170730,CNN1D,SWAT,42,original,0.0,0.9811,0.0,0.0,8.173,0.032494
20260517_170730,Automata,SWAT,42,original,0.0,0.9446,0.0,0.0,0.981,0.387726
20260517_170730,LSTM,SWAT,123,original,0.0,0.9686,0.0,0.0,3.365,0.022428
20260517_170730,GRU,SWAT,123,original,0.0,0.9724,0.0,0.0,1.957,0.010311
20260517_170730,CNN1D,SWAT,123,original,0.0,0.9939,0.0,0.0,6.352,0.066584
20260517_170730,Automata,SWAT,123,original,0.0,0.9446,0.0,0.0,1.118,0.399047
20260517_170730,LSTM,SWAT,2026,original,0.0,0.9695,0.0,0.0,3.118,0.016167
20260517_170730,GRU,SWAT,2026,original,0.0,0.956,0.0,0.0,2.41,0.017264
20260517_170730,CNN1D,SWAT,2026,original,0.0,0.9622,0.0,0.0,7.929,0.034596
20260517_170730,Automata,SWAT,2026,original,0.0,0.9446,0.0,0.0,1.406,0.679286
20260517_170730,LSTM,SWAT,7,original,0.0,0.9093,0.0,0.0,2.357,0.01333
20260517_170730,GRU,SWAT,7,original,0.0,0.9617,0.0,0.0,1.541,0.008621
20260517_170730,CNN1D,SWAT,7,original,0.0,0.9797,0.0,0.0,5.523,0.029855
20260517_170730,Automata,SWAT,7,original,0.0,0.9446,0.0,0.0,0.745,0.593653
20260517_170730,LSTM,SWAT,999,original,0.0,0.9702,0.0,0.0,3.038,0.019313
20260517_170730,GRU,SWAT,999,original,0.0,0.9476,0.0,0.0,1.835,0.011056
20260517_170730,CNN1D,SWAT,999,original,0.0,0.9847,0.0,0.0,7.565,0.041513
20260517_170730,Automata,SWAT,999,original,0.0,0.9446,0.0,0.0,1.034,0.655958
20260517_170730,LSTM,WADI,42,original,0.0642,0.8455,0.0391,0.1791,6.211,0.058341
20260517_170730,GRU,WADI,42,original,0.0829,0.3872,0.0434,0.9358,6.038,0.028184
20260517_170730,CNN1D,WADI,42,original,0.0586,0.0799,0.0302,0.9662,25.58,0.079061
20260517_170730,Automata,WADI,42,original,0.0002,0.0098,0.0001,0.0033,1.66,0.512535
20260517_170730,LSTM,WADI,123,original,0.0851,0.3932,0.0445,0.9527,4.649,0.034419
20260517_170730,GRU,WADI,123,original,0.3831,0.933,0.2633,0.7027,4.528,0.028688
20260517_170730,CNN1D,WADI,123,original,0.0996,0.4989,0.0526,0.9358,18.334,0.084496
20260517_170730,Automata,WADI,123,original,0.0002,0.0098,0.0001,0.0033,1.695,0.519152
20260517_170730,LSTM,WADI,2026,original,0.08,0.3697,0.0418,0.9257,5.111,0.034662
20260517_170730,GRU,WADI,2026,original,0.0674,0.2549,0.035,0.9088,3.684,0.020448
20260517_170730,CNN1D,WADI,2026,original,0.0543,0.641,0.0294,0.348,16.434,0.069849
20260517_170730,Automata,WADI,2026,original,0.0002,0.0098,0.0001,0.0033,1.531,0.472618
20260517_170730,LSTM,WADI,7,original,0.2838,0.8636,0.168,0.9122,7.439,0.045559
20260517_170730,GRU,WADI,7,original,0.7169,0.9782,0.5823,0.9324,2.773,0.018938
20260517_170730,CNN1D,WADI,7,original,0.2028,0.7798,0.1136,0.9459,18.388,0.086227
20260517_170730,Automata,WADI,7,original,0.0002,0.0098,0.0001,0.0033,1.598,0.466575
20260517_170730,LSTM,WADI,999,original,0.5455,0.954,0.3855,0.9324,5.622,0.047447
20260517_170730,GRU,WADI,999,original,0.6309,0.9677,0.4767,0.9324,4.596,0.018382
20260517_170730,CNN1D,WADI,999,original,0.2291,0.8121,0.1304,0.9426,17.319,0.068067
20260517_170730,Automata,WADI,999,original,0.0002,0.0098,0.0001,0.0033,1.448,0.809546
