run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time
20260517_163745,LSTM,SWAT,42,original,0.0,0.9465,0.0,0.0,1.392,0.010737
20260517_163745,GRU,SWAT,42,original,0.0,0.9457,0.0,0.0,1.071,0.007962
20260517_163745,CNN1D,SWAT,42,original,0.0,0.9507,0.0,0.0,5.094,0.019903
20260517_163745,Automata,SWAT,42,original,0.0,0.9487,0.0,0.0,0.496,0.140085
20260517_163745,LSTM,SWAT,123,original,0.0,0.9469,0.0,0.0,1.665,0.011495
20260517_163745,GRU,SWAT,123,original,0.0,0.9472,0.0,0.0,1.075,0.008184
20260517_163745,CNN1D,SWAT,123,original,0.0,0.9459,0.0,0.0,5.562,0.019664
20260517_163745,Automata,SWAT,123,original,0.0,0.9487,0.0,0.0,0.465,0.153228
20260517_163745,LSTM,WADI,42,original,0.0,0.9633,0.0,0.0,27.961,0.147168
20260517_163745,GRU,WADI,42,original,0.0,0.9634,0.0,0.0,31.232,0.117174
20260517_163745,CNN1D,WADI,42,original,0.0,0.9634,0.0,0.0,169.105,0.2534
20260517_163745,Automata,WADI,42,original,0.0,0.9634,0.0,0.0,4.232,1.393683
20260517_163745,LSTM,WADI,123,original,0.0,0.9634,0.0,0.0,36.417,0.14676
20260517_163745,GRU,WADI,123,original,0.0,0.9634,0.0,0.0,22.129,0.111586
20260517_163745,CNN1D,WADI,123,original,0.0,0.9634,0.0,0.0,108.642,0.272637
20260517_163745,Automata,WADI,123,original,0.0,0.9634,0.0,0.0,4.329,1.422768
