run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time,unseen_rate
20260509_192845,LSTM,SWAT,42,original,0.0,1.0,0.0,0.0,15.942,0.201965,
20260509_192845,LSTM,SWAT,42,noisy,0.0,1.0,0.0,0.0,15.111,0.206449,
20260509_192845,GRU,SWAT,42,original,0.0,1.0,0.0,0.0,37.935,0.622523,
20260509_192845,GRU,SWAT,42,noisy,0.0,1.0,0.0,0.0,39.259,0.581021,
20260509_192845,CNN1D,SWAT,42,original,0.0,1.0,0.0,0.0,6.497,0.147529,
20260509_192845,CNN1D,SWAT,42,noisy,0.0,1.0,0.0,0.0,5.824,0.132573,
20260509_192845,Automata,SWAT,42,original,0.0,0.9444,0.0,0.0,0.49,0.171433,
20260509_192845,Automata,SWAT,42,noisy,0.0,0.8958,0.0,0.0,0.511,0.176063,
20260509_192845,Automata,SWAT,42,unseen,0.0,0.9444,0.0,0.0,0.458,0.159904,0.0
20260509_192845,LSTM,WADI,42,original,0.0,0.9423,0.0,0.0,75.903,8.619411,
20260509_192845,LSTM,WADI,42,noisy,0.0,0.9423,0.0,0.0,81.41,8.762993,
20260509_192845,GRU,WADI,42,original,0.0,0.9423,0.0,0.0,175.386,17.703599,
20260509_192845,GRU,WADI,42,noisy,0.0,0.9423,0.0,0.0,166.635,18.668929,
20260509_192845,CNN1D,WADI,42,original,0.0,0.9423,0.0,0.0,27.798,5.503561,
20260509_192845,CNN1D,WADI,42,noisy,0.0,0.9423,0.0,0.0,24.867,4.341026,
20260509_192845,Automata,WADI,42,original,0.0,0.8069,0.0,0.0,2.187,5.890887,
20260509_192845,Automata,WADI,42,noisy,0.0,0.8009,0.0,0.0,2.134,5.019569,
20260509_192845,Automata,WADI,42,unseen,0.0,0.8069,0.0,0.0,2.112,4.53,0.0
