run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time
20260517_165912,LSTM,SWAT,42,original,0.0,0.9462,0.0,0.0,1.07,0.008599
20260517_165912,GRU,SWAT,42,original,0.0,0.956,0.0,0.0,0.835,0.005474
20260517_165912,CNN1D,SWAT,42,original,0.0,0.9811,0.0,0.0,2.657,0.016395
20260517_165912,Automata,SWAT,42,original,0.0,0.9459,0.0,0.0,0.478,0.152498
20260517_165912,LSTM,WADI,42,original,0.0,0.0,0.0,0.0,2.643,0.016164
20260517_165912,GRU,WADI,42,original,0.0,0.032,0.0,0.0,1.641,0.010911
20260517_165912,CNN1D,WADI,42,original,0.0,0.0,0.0,0.0,7.37,0.029962
20260517_165912,Automata,WADI,42,original,0.0,0.0136,0.0,0.0,0.781,0.271175
