run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time,unseen_rate
20260510_134912,LSTM,SWAT,42,original,0.0,1.0,0.0,0.0,18.499,0.269435,
20260510_134912,LSTM,SWAT,42,noisy,0.0,1.0,0.0,0.0,18.37,0.269788,
20260510_134912,GRU,SWAT,42,original,0.0,1.0,0.0,0.0,38.722,0.559976,
20260510_134912,GRU,SWAT,42,noisy,0.0,1.0,0.0,0.0,38.477,0.572658,
20260510_134912,CNN1D,SWAT,42,original,0.0,1.0,0.0,0.0,6.19,0.142568,
20260510_134912,CNN1D,SWAT,42,noisy,0.0,1.0,0.0,0.0,6.224,0.143891,
20260510_134912,Automata,SWAT,42,original,0.0,0.9549,0.0,0.0,0.511,0.140594,
20260510_134912,Automata,SWAT,42,noisy,0.0,0.9236,0.0,0.0,0.422,0.153365,
20260510_134912,Automata,SWAT,42,unseen,0.0,0.9549,0.0,0.0,0.412,0.140569,0.0
20260510_134912,LSTM,WADI,42,original,0.0,0.9424,0.0,0.0,166.387,3.037238,
20260510_134912,LSTM,WADI,42,noisy,0.0,0.9424,0.0,0.0,201.892,3.013588,
20260510_134912,GRU,WADI,42,original,0.0,0.9424,0.0,0.0,440.955,5.701102,
20260510_134912,GRU,WADI,42,noisy,0.0,0.9424,0.0,0.0,6341.516,4.17139,
20260510_134912,CNN1D,WADI,42,original,0.0,0.9424,0.0,0.0,35.613,1.154947,
20260510_134912,CNN1D,WADI,42,noisy,0.0,0.9424,0.0,0.0,37.308,1.27369,
20260510_134912,Automata,WADI,42,original,0.0,1.0,0.0,0.0,3.977,1.470957,
20260510_134912,Automata,WADI,42,noisy,0.0,1.0,0.0,0.0,3.96,1.411814,
20260510_134912,Automata,WADI,42,unseen,0.0,1.0,0.0,0.0,4.036,1.397807,0.0
