run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time,unseen_rate
20260510_163549,LSTM,SWAT,42,original,0.0,1.0,0.0,0.0,4.435,0.08727,
20260510_163549,LSTM,SWAT,42,noisy,0.0,1.0,0.0,0.0,4.152,0.091942,
20260510_163549,GRU,SWAT,42,original,0.0,1.0,0.0,0.0,6.712,0.11624,
20260510_163549,GRU,SWAT,42,noisy,0.0,1.0,0.0,0.0,6.69,0.126088,
20260510_163549,CNN1D,SWAT,42,original,0.0,1.0,0.0,0.0,3.557,0.102268,
20260510_163549,CNN1D,SWAT,42,noisy,0.0,1.0,0.0,0.0,3.558,0.096666,
20260510_163549,Automata,SWAT,42,original,0.0,0.9549,0.0,0.0,0.503,0.134183,
20260510_163549,Automata,SWAT,42,noisy,0.0,0.9236,0.0,0.0,0.477,0.169544,
20260510_163549,Automata,SWAT,42,unseen,0.0,0.9549,0.0,0.0,0.451,0.157502,0.0
20260510_163549,LSTM,WADI,42,original,0.0,0.9425,0.0,0.0,44.283,1.023332,
20260510_163549,LSTM,WADI,42,noisy,0.0,0.9425,0.0,0.0,47.367,0.993239,
20260510_163549,GRU,WADI,42,original,0.0,0.9425,0.0,0.0,55.072,1.426229,
20260510_163549,GRU,WADI,42,noisy,0.0,0.9425,0.0,0.0,55.305,1.378458,
20260510_163549,CNN1D,WADI,42,original,0.0,0.9425,0.0,0.0,36.954,0.983989,
20260510_163549,CNN1D,WADI,42,noisy,0.0,0.9425,0.0,0.0,28.155,0.940977,
20260510_163549,Automata,WADI,42,original,0.0,1.0,0.0,0.0,4.173,1.580037,
20260510_163549,Automata,WADI,42,noisy,0.0,1.0,0.0,0.0,5.229,1.894624,
20260510_163549,Automata,WADI,42,unseen,0.0,1.0,0.0,0.0,4.27,1.483367,0.0
