run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time,unseen_rate
20260510_182629,LSTM,SWAT,42,original,0.0,0.9642,0.0,0.0,4.173,0.093493,
20260510_182629,LSTM,SWAT,42,noisy,0.0,0.9748,0.0,0.0,4.806,0.109589,
20260510_182629,GRU,SWAT,42,original,0.0,0.9637,0.0,0.0,7.06,0.129483,
20260510_182629,GRU,SWAT,42,noisy,0.0,0.9634,0.0,0.0,6.879,0.122331,
20260510_182629,CNN1D,SWAT,42,original,0.0,1.0,0.0,0.0,3.768,0.123005,
20260510_182629,CNN1D,SWAT,42,noisy,0.0,1.0,0.0,0.0,3.493,0.119669,
20260510_182629,Automata,SWAT,42,original,0.0,0.9444,0.0,0.0,0.545,0.134187,
20260510_182629,Automata,SWAT,42,noisy,0.0,0.8958,0.0,0.0,0.42,0.137473,
20260510_182629,Automata,SWAT,42,unseen,0.0,0.9444,0.0,0.0,0.436,0.185674,0.0
20260510_182629,LSTM,WADI,42,original,0.0,0.9424,0.0,0.0,34.248,0.966057,
20260510_182629,LSTM,WADI,42,noisy,0.0,0.9424,0.0,0.0,35.126,0.936212,
20260510_182629,GRU,WADI,42,original,0.0,0.9425,0.0,0.0,54.03,1.328145,
20260510_182629,GRU,WADI,42,noisy,0.0,0.9425,0.0,0.0,53.665,1.326955,
20260510_182629,CNN1D,WADI,42,original,0.0,0.9425,0.0,0.0,29.081,0.99117,
20260510_182629,CNN1D,WADI,42,noisy,0.0,0.9425,0.0,0.0,29.452,0.98737,
20260510_182629,Automata,WADI,42,original,0.0,1.0,0.0,0.0,4.246,1.444086,
20260510_182629,Automata,WADI,42,noisy,0.0,1.0,0.0,0.0,4.248,1.636348,
20260510_182629,Automata,WADI,42,unseen,0.0,1.0,0.0,0.0,4.195,1.541973,0.0
