run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time,unseen_rate
20260510_175126,LSTM,SWAT,42,original,0.0,1.0,0.0,0.0,4.48,0.10699,
20260510_175126,LSTM,SWAT,42,noisy,0.0,1.0,0.0,0.0,4.338,0.094825,
20260510_175126,GRU,SWAT,42,original,0.0,1.0,0.0,0.0,6.662,0.129112,
20260510_175126,GRU,SWAT,42,noisy,0.0,1.0,0.0,0.0,6.714,0.125635,
20260510_175126,CNN1D,SWAT,42,original,0.0,1.0,0.0,0.0,3.548,0.099547,
20260510_175126,CNN1D,SWAT,42,noisy,0.0,1.0,0.0,0.0,3.576,0.098899,
20260510_175126,Automata,SWAT,42,original,0.0,0.9444,0.0,0.0,0.476,0.160857,
20260510_175126,Automata,SWAT,42,noisy,0.0,0.8958,0.0,0.0,0.478,0.143176,
20260510_175126,Automata,SWAT,42,unseen,0.0,0.9444,0.0,0.0,0.417,0.161844,0.0
20260510_175126,LSTM,WADI,42,original,0.0,0.9425,0.0,0.0,34.838,0.988315,
20260510_175126,LSTM,WADI,42,noisy,0.0,0.9425,0.0,0.0,36.161,1.037483,
20260510_175126,GRU,WADI,42,original,0.0,0.9425,0.0,0.0,54.018,1.24594,
20260510_175126,GRU,WADI,42,noisy,0.0,0.9425,0.0,0.0,53.451,1.268558,
20260510_175126,CNN1D,WADI,42,original,0.0,0.9425,0.0,0.0,28.592,0.922204,
20260510_175126,CNN1D,WADI,42,noisy,0.0,0.9425,0.0,0.0,28.52,0.955999,
20260510_175126,Automata,WADI,42,original,0.0,1.0,0.0,0.0,4.823,1.531855,
20260510_175126,Automata,WADI,42,noisy,0.0,1.0,0.0,0.0,4.503,1.886298,
20260510_175126,Automata,WADI,42,unseen,0.0,1.0,0.0,0.0,4.403,1.484091,0.0
