run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time,unseen_rate
20260510_213051,LSTM,SWAT,42,original,0.0,1.0,0.0,0.0,1.324,0.007468,
20260510_213051,LSTM,SWAT,42,noisy,0.0,1.0,0.0,0.0,1.325,0.007574,
20260510_213051,GRU,SWAT,42,original,0.0,0.9457,0.0,0.0,0.785,0.006488,
20260510_213051,GRU,SWAT,42,noisy,0.0,0.9465,0.0,0.0,0.791,0.007046,
20260510_213051,CNN1D,SWAT,42,original,0.0,1.0,0.0,0.0,3.776,0.010784,
20260510_213051,CNN1D,SWAT,42,noisy,0.0,1.0,0.0,0.0,3.307,0.01088,
20260510_213051,Automata,SWAT,42,original,0.0,0.9444,0.0,0.0,0.359,0.118526,
20260510_213051,Automata,SWAT,42,noisy,0.0,0.8958,0.0,0.0,0.349,0.151134,
20260510_213051,Automata,SWAT,42,unseen,0.0,0.9444,0.0,0.0,0.449,0.127103,0.0
20260510_213051,LSTM,WADI,42,original,0.0,0.9634,0.0,0.0,26.491,0.13991,
20260510_213051,LSTM,WADI,42,noisy,0.0,0.9634,0.0,0.0,26.39,0.584746,
20260510_213051,GRU,WADI,42,original,0.0706,0.0366,0.0366,1.0,26.766,0.085213,
20260510_213051,GRU,WADI,42,noisy,0.0706,0.0366,0.0366,1.0,27.743,0.325792,
20260510_213051,CNN1D,WADI,42,original,0.0,0.9634,0.0,0.0,95.6,0.157147,
20260510_213051,CNN1D,WADI,42,noisy,0.0,0.9634,0.0,0.0,94.894,0.916687,
20260510_213051,Automata,WADI,42,original,0.0,1.0,0.0,0.0,3.919,1.146465,
20260510_213051,Automata,WADI,42,noisy,0.0,1.0,0.0,0.0,3.616,1.248546,
20260510_213051,Automata,WADI,42,unseen,0.0,1.0,0.0,0.0,3.801,1.429776,0.0
