run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time,unseen_rate,statistic,p_value
20260601_113958,LSTM,SKAB,42,original,0.7641360216488233,0.7584057002894679,0.7860819122255897,0.7584057002894679,17.183,0.121547,,,
20260601_113958,LSTM,SKAB,42,noisy,0.7586086678888058,0.7526163437987086,0.7822233667397183,0.7526163437987086,17.183,0.119118,,,
20260601_113958,LSTM,SKAB,42,unseen,0.7648952965474031,0.7619683812068582,0.770319153139909,0.7619683812068582,17.183,0.142868,,,
20260601_113958,GRU,SKAB,42,original,0.7546229288975096,0.7479403250946337,0.7979154916490749,0.7479403250946337,23.901,0.209012,,,
20260601_113958,GRU,SKAB,42,noisy,0.7396262312445291,0.7325762636383879,0.7879893432039682,0.7325762636383879,23.901,0.214526,,,
20260601_113958,GRU,SKAB,42,unseen,0.755828824714681,0.7510576708973502,0.768368218108789,0.7510576708973502,23.901,0.167087,,,
20260601_113958,CNN1D,SKAB,42,original,0.7488380191178595,0.7422657467171155,0.7786424172182588,0.7422657467171155,9.177,0.141612,,,
20260601_113958,CNN1D,SKAB,42,noisy,0.7465436932672549,0.7398174938793679,0.7788635105035168,0.7398174938793679,9.177,0.114635,,,
20260601_113958,CNN1D,SKAB,42,unseen,0.741926922744034,0.7364789672824393,0.7570372221234392,0.7364789672824393,9.177,0.13982,,,
20260601_113958,Automata,SKAB,42,original,0.5250076681898259,0.6417279002449343,0.49279339429144253,0.6417279002449343,0.369,0.128303,,,
20260601_113958,Automata,SKAB,42,noisy,0.5257353535281833,0.640391894900913,0.4962775109332343,0.640391894900913,0.369,0.153379,,,
20260601_113958,Automata,SKAB,42,unseen,0.5708364016249685,0.5882876864840793,0.5614588001189346,0.5882876864840793,0.369,0.154251,0.0027,,
20260601_113958,LSTM,SKAB,123,original,0.6255674379069343,0.6259185036740147,0.7724753590436106,0.6259185036740147,13.292,0.132799,,,
20260601_113958,LSTM,SKAB,123,noisy,0.6321583654505031,0.6314851926074371,0.772048419338888,0.6314851926074371,13.292,0.191041,,,
20260601_113958,LSTM,SKAB,123,unseen,0.6594207232086161,0.6515252727677577,0.7306520048591678,0.6515252727677577,13.292,0.117429,,,
20260601_113958,GRU,SKAB,123,original,0.6327488690116112,0.6321531952794478,0.773411826510351,0.6321531952794478,19.552,0.118747,,,
