run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time,unseen_rate
20260510_165813,LSTM,SWAT,42,original,0.0,0.9866,0.0,0.0,3.355,0.081935,
20260510_165813,LSTM,SWAT,42,noisy,0.0,0.9632,0.0,0.0,3.367,0.088989,
20260510_165813,GRU,SWAT,42,original,0.0,0.9892,0.0,0.0,5.644,0.124702,
20260510_165813,GRU,SWAT,42,noisy,0.0,0.9901,0.0,0.0,6.094,0.141549,
20260510_165813,CNN1D,SWAT,42,original,0.0,0.9365,0.0,0.0,2.945,0.0707,
20260510_165813,CNN1D,SWAT,42,noisy,0.0,0.9429,0.0,0.0,2.952,0.088884,
20260510_165813,Automata,SWAT,42,original,0.0,0.9549,0.0,0.0,0.391,0.120518,
20260510_165813,Automata,SWAT,42,noisy,0.0,0.9236,0.0,0.0,0.362,0.123459,
20260510_165813,Automata,SWAT,42,unseen,0.0,0.9549,0.0,0.0,0.381,0.126042,0.0
20260510_165813,LSTM,WADI,42,original,0.0,0.9424,0.0,0.0,41.214,0.924006,
20260510_165813,LSTM,WADI,42,noisy,0.0,0.9424,0.0,0.0,41.139,0.816105,
20260510_165813,GRU,WADI,42,original,0.0,0.9425,0.0,0.0,44.304,1.086032,
20260510_165813,GRU,WADI,42,noisy,0.1088,0.0576,0.0575,1.0,49.521,1.186084,
20260510_165813,CNN1D,WADI,42,original,0.0,0.9425,0.0,0.0,30.617,0.848658,
20260510_165813,CNN1D,WADI,42,noisy,0.0,0.9425,0.0,0.0,27.497,0.901748,
20260510_165813,Automata,WADI,42,original,0.0,1.0,0.0,0.0,3.836,1.338882,
20260510_165813,Automata,WADI,42,noisy,0.0,1.0,0.0,0.0,4.095,1.370355,
20260510_165813,Automata,WADI,42,unseen,0.0,1.0,0.0,0.0,3.967,1.257961,0.0
