run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time,unseen_rate
20260510_184102,LSTM,SWAT,42,original,0.0,1.0,0.0,0.0,1.516,0.010456,
20260510_184102,LSTM,SWAT,42,noisy,0.0,1.0,0.0,0.0,1.767,0.00993,
20260510_184102,GRU,SWAT,42,original,0.0,0.9457,0.0,0.0,1.008,0.009317,
20260510_184102,GRU,SWAT,42,noisy,0.0,0.9465,0.0,0.0,1.066,0.009026,
20260510_184102,CNN1D,SWAT,42,original,0.0,1.0,0.0,0.0,4.485,0.014636,
20260510_184102,CNN1D,SWAT,42,noisy,0.0,1.0,0.0,0.0,4.48,0.017561,
20260510_184102,Automata,SWAT,42,original,0.0,0.9444,0.0,0.0,0.435,0.131907,
20260510_184102,Automata,SWAT,42,noisy,0.0,0.8958,0.0,0.0,0.414,0.129757,
20260510_184102,Automata,SWAT,42,unseen,0.0,0.9444,0.0,0.0,0.405,0.133593,0.0
20260510_184102,LSTM,WADI,42,original,0.0,0.9634,0.0,0.0,26.507,0.099428,
20260510_184102,LSTM,WADI,42,noisy,0.0,0.9634,0.0,0.0,26.302,0.484336,
20260510_184102,GRU,WADI,42,original,0.0706,0.0366,0.0366,1.0,27.31,0.093079,
20260510_184102,GRU,WADI,42,noisy,0.0706,0.0366,0.0366,1.0,25.279,0.290055,
20260510_184102,CNN1D,WADI,42,original,0.0,0.9634,0.0,0.0,99.495,0.146623,
20260510_184102,CNN1D,WADI,42,noisy,0.0,0.9634,0.0,0.0,93.272,0.989773,
20260510_184102,Automata,WADI,42,original,0.0,1.0,0.0,0.0,3.701,1.299605,
20260510_184102,Automata,WADI,42,noisy,0.0,1.0,0.0,0.0,3.716,1.365149,
20260510_184102,Automata,WADI,42,unseen,0.0,1.0,0.0,0.0,3.735,1.219518,0.0
