run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time
20260517_165744,LSTM,SWAT,42,original,0.0,0.9462,0.0,0.0,1.305,0.008785
20260517_165744,GRU,SWAT,42,original,0.0,0.956,0.0,0.0,0.853,0.005427
20260517_165744,CNN1D,SWAT,42,original,0.0,0.9811,0.0,0.0,2.621,0.016283
20260517_165744,Automata,SWAT,42,original,0.0,0.9459,0.0,0.0,0.489,0.155282
20260517_165744,LSTM,WADI,42,original,0.0,0.8788,0.0,0.0,2.998,0.018046
20260517_165744,GRU,WADI,42,original,0.0,0.7264,0.0,0.0,1.952,0.020064
20260517_165744,CNN1D,WADI,42,original,0.0,0.9844,0.0,0.0,11.526,0.041783
20260517_165744,Automata,WADI,42,original,0.0,0.9884,0.0,0.0,1.305,0.396159
