run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time,unseen_rate
20260510_170624,LSTM,SWAT,42,original,0.0,1.0,0.0,0.0,4.032,0.08563,
20260510_170624,LSTM,SWAT,42,noisy,0.0,1.0,0.0,0.0,4.407,0.089974,
20260510_170624,GRU,SWAT,42,original,0.0,1.0,0.0,0.0,6.775,0.124127,
20260510_170624,GRU,SWAT,42,noisy,0.0,1.0,0.0,0.0,6.536,0.12185,
20260510_170624,CNN1D,SWAT,42,original,0.0,1.0,0.0,0.0,3.541,0.091958,
20260510_170624,CNN1D,SWAT,42,noisy,0.0,1.0,0.0,0.0,3.432,0.093688,
20260510_170624,Automata,SWAT,42,original,0.0,0.9549,0.0,0.0,0.423,0.12877,
20260510_170624,Automata,SWAT,42,noisy,0.0,0.9236,0.0,0.0,0.423,0.134651,
20260510_170624,Automata,SWAT,42,unseen,0.0,0.9549,0.0,0.0,0.439,0.143779,0.0
20260510_170624,LSTM,WADI,42,original,0.0,0.9425,0.0,0.0,40.654,0.984752,
20260510_170624,LSTM,WADI,42,noisy,0.0,0.9425,0.0,0.0,40.756,1.006306,
20260510_170624,GRU,WADI,42,original,0.0,0.9425,0.0,0.0,54.466,1.322073,
20260510_170624,GRU,WADI,42,noisy,0.0,0.9425,0.0,0.0,54.512,1.396944,
20260510_170624,CNN1D,WADI,42,original,0.0,0.9425,0.0,0.0,37.117,1.017345,
20260510_170624,CNN1D,WADI,42,noisy,0.0,0.9425,0.0,0.0,28.017,0.996986,
20260510_170624,Automata,WADI,42,original,0.0,1.0,0.0,0.0,4.226,1.478496,
20260510_170624,Automata,WADI,42,noisy,0.0,1.0,0.0,0.0,4.438,1.57726,
20260510_170624,Automata,WADI,42,unseen,0.0,1.0,0.0,0.0,4.216,1.501534,0.0
