run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time,unseen_rate,statistic,p_value
20260531_162408,LSTM,WADI,42,original,0.9231049027534497,0.9341088636166334,0.9269535644702105,0.9341088636166334,13.505,1.037529,,,
20260531_162408,LSTM,WADI,42,noisy,0.9227361746925605,0.9338484243423908,0.9265933549828955,0.9338484243423908,13.505,1.059995,,,
20260531_162408,LSTM,WADI,42,unseen,0.8638171730662658,0.8523598692016089,0.8780323138146585,0.8523598692016089,13.505,1.033179,,,
20260531_162408,GRU,WADI,42,original,0.8956071572374235,0.9007147611193101,0.8915921167274062,0.9007147611193101,13.959,1.19162,,,
20260531_162408,GRU,WADI,42,noisy,0.8950050165264828,0.900193882570825,0.8909223516044312,0.900193882570825,13.959,1.167069,,,
20260531_162408,GRU,WADI,42,unseen,0.8819880639318887,0.8778250426831032,0.8866743039461167,0.8778250426831032,13.959,1.198182,,,
20260531_162408,CNN1D,WADI,42,original,0.9202117352371099,0.9362213155077119,0.9398966747342135,0.9362213155077119,9.409,1.050127,,,
20260531_162408,CNN1D,WADI,42,noisy,0.9201870417311634,0.9361923778105739,0.9397999952938995,0.9361923778105739,9.409,1.006805,,,
20260531_162408,CNN1D,WADI,42,unseen,0.8888364918008631,0.8932198975605521,0.885104968197127,0.8932198975605521,9.409,1.011771,,,
20260531_162408,Automata,WADI,42,original,0.8606490205472178,0.8963741065486008,0.8304819508122069,0.8963741065486008,1.608,0.993506,,,
20260531_162408,Automata,WADI,42,noisy,0.8379666568216424,0.849581850276355,0.8268611951887521,0.849581850276355,1.608,1.085763,,,
20260531_162408,Automata,WADI,42,unseen,0.789547329102337,0.762884509650722,0.8188135493878083,0.762884509650722,1.608,2.094089,0.0589,,
20260531_162408,Wilcoxon_LSTM_vs_GRU,WADI,all,stat_test,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
20260531_162408,Wilcoxon_LSTM_vs_Automata,WADI,all,stat_test,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
20260531_162408,Wilcoxon_GRU_vs_Automata,WADI,all,stat_test,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
20260531_162408,Wilcoxon_LSTM_vs_CNN1D,WADI,all,stat_test,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
20260531_162408,McNemar_LSTM_vs_GRU,WADI,42,stat_test,0.0,0.0,0.0,0.0,0.0,0.0,,1033.7550544323483,0.0
20260531_162408,McNemar_LSTM_vs_Automata,WADI,42,stat_test,0.0,0.0,0.0,0.0,0.0,0.0,,874.2579814624099,0.0
