run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time,unseen_rate,statistic,p_value
20260601_111248,LSTM,SKAB,42,original,0.8595889688296406,0.869294143843242,0.8908823086052052,0.869294143843242,11.687,0.085887,,,
20260601_111248,LSTM,SKAB,42,noisy,0.8625209590381784,0.8717434869739479,0.8923633762568166,0.8717434869739479,11.687,0.093559,,,
20260601_111248,LSTM,SKAB,42,unseen,0.8296751006997355,0.8445780449788466,0.8741781881179367,0.8445780449788466,11.687,0.104447,,,
20260601_111248,GRU,SKAB,42,original,0.8872807950983647,0.892896904920953,0.9056908507707869,0.892896904920953,19.246,0.138211,,,
20260601_111248,GRU,SKAB,42,noisy,0.8836457610257116,0.8895568915608996,0.9024516245048917,0.8895568915608996,19.246,0.135012,,,
20260601_111248,GRU,SKAB,42,unseen,0.8492406791454351,0.8601647739924293,0.8820898824756321,0.8601647739924293,19.246,0.100912,,,
20260601_111248,CNN1D,SKAB,42,original,0.8469865226109936,0.8577787669708435,0.8778155009878462,0.8577787669708435,6.759,0.097266,,,
20260601_111248,CNN1D,SKAB,42,noisy,0.8443248337868388,0.8551079456933007,0.8736272821485552,0.8551079456933007,6.759,0.114112,,,
20260601_111248,CNN1D,SKAB,42,unseen,0.8248081409970726,0.8395281549076341,0.8647957555861625,0.8395281549076341,6.759,0.111478,,,
20260601_111248,Automata,SKAB,42,original,0.5256536134752745,0.6606546426185704,0.436464556813471,0.6606546426185704,0.273,0.066866,,,
20260601_111248,Automata,SKAB,42,noisy,0.5255469143104949,0.6604319750612336,0.43641462583667706,0.6604319750612336,0.273,0.079852,,,
20260601_111248,Automata,SKAB,42,unseen,0.5510228479699649,0.6459585838343354,0.5636613915552475,0.6459585838343354,0.273,0.101282,0.0027,,
20260601_111248,LSTM,SKAB,123,original,0.8828620883909543,0.8891115564462257,0.90353534710357,0.8891115564462257,9.1,0.121402,,,
20260601_111248,LSTM,SKAB,123,noisy,0.8805818522156778,0.8868848808728568,0.900590060097921,0.8868848808728568,9.1,0.127284,,,
20260601_111248,LSTM,SKAB,123,unseen,0.8451747876936722,0.8570474281897128,0.8814246823761818,0.8570474281897128,9.1,0.09856,,,
20260601_111248,GRU,SKAB,123,original,0.8662171923940278,0.8748608327766645,0.894342357828442,0.8748608327766645,16.696,0.110331,,,
20260601_111248,GRU,SKAB,123,noisy,0.8655691267851201,0.8741928301046538,0.8932045286288257,0.8741928301046538,16.696,0.101929,,,
20260601_111248,GRU,SKAB,123,unseen,0.8278028135810215,0.8430193720774883,0.8728561864076037,0.8430193720774883,16.696,0.085085,,,
20260601_111248,CNN1D,SKAB,123,original,0.8445380816964063,0.8557756510126864,0.8765986487247011,0.8557756510126864,10.003,0.115919,,,
20260601_111248,CNN1D,SKAB,123,noisy,0.8432572150519321,0.8546628088137103,0.8755622143461728,0.8546628088137103,10.003,0.083172,,,
20260601_111248,CNN1D,SKAB,123,unseen,0.8204554771402031,0.8361896283107055,0.8632998063566206,0.8361896283107055,10.003,0.101727,,,
20260601_111248,Automata,SKAB,123,original,0.5256536134752745,0.6606546426185704,0.436464556813471,0.6606546426185704,0.224,0.086873,,,
20260601_111248,Automata,SKAB,123,noisy,0.5255469143104949,0.6604319750612336,0.43641462583667706,0.6604319750612336,0.224,0.07092,,,
20260601_111248,Automata,SKAB,123,unseen,0.5462882006903466,0.6430639055889557,0.5523836802776646,0.6430639055889557,0.224,0.113963,0.0024,,
20260601_111248,LSTM,SKAB,2026,original,0.8760379691251046,0.8830995323981295,0.8988686203113222,0.8830995323981295,11.589,0.107011,,,
20260601_111248,LSTM,SKAB,2026,noisy,0.8723785382148044,0.8795368514807392,0.8941150856216057,0.8795368514807392,11.589,0.101105,,,
20260601_111248,LSTM,SKAB,2026,unseen,0.8377810257197453,0.8508127365842797,0.8763651854443592,0.8508127365842797,11.589,0.102122,,,
20260601_111248,GRU,SKAB,2026,original,0.8844813228899834,0.8904475617902472,0.9040013943823116,0.8904475617902472,21.014,0.118924,,,
20260601_111248,GRU,SKAB,2026,noisy,0.8774705826338222,0.8839902026274772,0.897498705667087,0.8839902026274772,21.014,0.118346,,,
20260601_111248,GRU,SKAB,2026,unseen,0.8437833763922478,0.8557114228456913,0.8794741956510665,0.8557114228456913,21.014,0.107831,,,
20260601_111248,CNN1D,SKAB,2026,original,0.8416602753334059,0.8542176719341198,0.8800375435678645,0.8542176719341198,8.208,0.102707,,,
