run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time
20260517_170012,LSTM,SWAT,42,original,0.0,0.9462,0.0,0.0,0.967,0.00647
20260517_170012,GRU,SWAT,42,original,0.0,0.956,0.0,0.0,0.705,0.005263
20260517_170012,CNN1D,SWAT,42,original,0.0,0.9811,0.0,0.0,2.548,0.018069
20260517_170012,Automata,SWAT,42,original,0.0,0.9459,0.0,0.0,0.512,0.157269
20260517_170012,LSTM,WADI,42,original,0.0642,0.8455,0.0391,0.1791,2.955,0.015879
20260517_170012,GRU,WADI,42,original,0.0829,0.3872,0.0434,0.9358,2.802,0.011811
20260517_170012,CNN1D,WADI,42,original,0.0586,0.0799,0.0302,0.9662,8.811,0.030132
20260517_170012,Automata,WADI,42,original,0.0002,0.0094,0.0001,0.0033,0.788,0.274192
