run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time,unseen_rate
20260510_130731,LSTM,SWAT,42,original,0.0,1.0,0.0,0.0,17.056,0.269364,
20260510_130731,LSTM,SWAT,42,noisy,0.0,1.0,0.0,0.0,17.199,0.287152,
20260510_130731,GRU,SWAT,42,original,0.0,1.0,0.0,0.0,37.047,0.515977,
20260510_130731,GRU,SWAT,42,noisy,0.0,1.0,0.0,0.0,42.034,0.555154,
20260510_130731,CNN1D,SWAT,42,original,0.0,1.0,0.0,0.0,6.252,0.148208,
20260510_130731,CNN1D,SWAT,42,noisy,0.0,1.0,0.0,0.0,6.081,0.165321,
20260510_130731,Automata,SWAT,42,original,0.0,0.9549,0.0,0.0,0.459,0.119208,
20260510_130731,Automata,SWAT,42,noisy,0.0,0.9236,0.0,0.0,0.429,0.135987,
20260510_130731,Automata,SWAT,42,unseen,0.0,0.9549,0.0,0.0,0.386,0.138055,0.0
20260510_130731,LSTM,WADI,42,original,0.0,0.9423,0.0,0.0,97.553,11.361595,
20260510_130731,LSTM,WADI,42,noisy,0.0,0.9423,0.0,0.0,83.73,9.520359,
20260510_130731,GRU,WADI,42,original,0.0,0.9423,0.0,0.0,167.102,17.938491,
20260510_130731,GRU,WADI,42,noisy,0.0,0.9423,0.0,0.0,170.127,19.814847,
20260510_130731,CNN1D,WADI,42,original,0.0,0.9423,0.0,0.0,30.959,5.390059,
20260510_130731,CNN1D,WADI,42,noisy,0.0,0.9423,0.0,0.0,33.655,5.137873,
20260510_130731,Automata,WADI,42,original,0.0,0.8069,0.0,0.0,1.988,5.416234,
20260510_130731,Automata,WADI,42,noisy,0.0,0.8009,0.0,0.0,1.87,5.142944,
20260510_130731,Automata,WADI,42,unseen,0.0,0.8069,0.0,0.0,1.85,4.242456,0.0
