run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time
20260517_164809,LSTM,SWAT,42,original,0.0,0.9465,0.0,0.0,1.311,0.010558
20260517_164809,GRU,SWAT,42,original,0.0,0.9457,0.0,0.0,1.135,0.008695
20260517_164809,CNN1D,SWAT,42,original,0.0,0.9507,0.0,0.0,8.901,0.027004
20260517_164809,Automata,SWAT,42,original,0.0,0.9459,0.0,0.0,0.63,0.187208
20260517_164809,LSTM,SWAT,123,original,0.0,0.9469,0.0,0.0,2.019,0.011794
20260517_164809,GRU,SWAT,123,original,0.0,0.9472,0.0,0.0,1.468,0.008688
20260517_164809,CNN1D,SWAT,123,original,0.0,0.9459,0.0,0.0,5.684,0.02287
20260517_164809,Automata,SWAT,123,original,0.0,0.9459,0.0,0.0,0.625,0.199562
20260517_164809,LSTM,WADI,42,original,0.0,0.9425,0.0,0.0,49.23,0.17096
20260517_164809,GRU,WADI,42,original,0.1088,0.0575,0.0575,1.0,43.856,0.116787
20260517_164809,CNN1D,WADI,42,original,0.0,0.9425,0.0,0.0,120.349,0.310368
20260517_164809,Automata,WADI,42,original,0.0,0.9424,0.0,0.0,6.525,1.713563
20260517_164809,LSTM,WADI,123,original,0.0,0.9425,0.0,0.0,66.01,0.170771
20260517_164809,GRU,WADI,123,original,0.0,0.9425,0.0,0.0,20.329,0.112266
20260517_164809,CNN1D,WADI,123,original,0.0,0.9425,0.0,0.0,158.462,0.281254
20260517_164809,Automata,WADI,123,original,0.0,0.9424,0.0,0.0,5.182,2.785819
