run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time,unseen_rate,window_size,alphabet_size
20260517_135357,Automata,WADI,123,noisy,0.0,1.0,0.0,0.0,5.3,1.512235,,,
20260517_135357,Automata,WADI,123,unseen,0.0,1.0,0.0,0.0,4.991,1.576918,0.0,,
20260517_135357,LSTM,WADI,2026,original,0.0706,0.0366,0.0366,1.0,40.485,0.14944,,,
20260517_135357,LSTM,WADI,2026,noisy,0.0706,0.0366,0.0366,1.0,40.964,0.826159,,,
20260517_135357,GRU,WADI,2026,original,0.0706,0.0366,0.0366,1.0,21.476,0.088428,,,
20260517_135357,GRU,WADI,2026,noisy,0.0706,0.0366,0.0366,1.0,18.878,0.433715,,,
20260517_135357,CNN1D,WADI,2026,original,0.0706,0.0366,0.0366,1.0,149.072,0.240371,,,
20260517_135357,CNN1D,WADI,2026,noisy,0.0706,0.0366,0.0366,1.0,153.563,1.734471,,,
20260517_135357,Automata,WADI,2026,original,0.0,1.0,0.0,0.0,3.685,1.217273,,,
20260517_135357,Automata,WADI,2026,noisy,0.0,1.0,0.0,0.0,3.714,1.237071,,,
20260517_135357,Automata,WADI,2026,unseen,0.0,1.0,0.0,0.0,3.712,1.361802,0.0,,
20260517_135357,LSTM,WADI,7,original,0.0706,0.0366,0.0366,1.0,33.092,0.122689,,,
20260517_135357,LSTM,WADI,7,noisy,0.0706,0.0366,0.0366,1.0,38.64,0.673531,,,
20260517_135357,GRU,WADI,7,original,0.0706,0.0366,0.0366,1.0,24.195,0.089436,,,
20260517_135357,GRU,WADI,7,noisy,0.0706,0.0366,0.0366,1.0,24.269,0.55429,,,
20260517_135357,CNN1D,WADI,7,original,0.0706,0.0366,0.0366,1.0,251.27,0.284489,,,
20260517_135357,CNN1D,WADI,7,noisy,0.0706,0.0366,0.0366,1.0,253.583,2.00335,,,
20260517_135357,Automata,WADI,7,original,0.0,1.0,0.0,0.0,5.182,1.661868,,,
20260517_135357,Automata,WADI,7,noisy,0.0,1.0,0.0,0.0,4.712,1.669438,,,
