run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time
20260506_153602,LSTM,SWAT,42,original,0.0,1.0,0.0,0.0,20.868,0.308971
20260506_153602,LSTM,SWAT,42,noisy,0.0,1.0,0.0,0.0,20.874,0.408983
20260506_153602,GRU,SWAT,42,original,0.0,1.0,0.0,0.0,47.112,0.672805
20260506_153602,GRU,SWAT,42,noisy,0.0,1.0,0.0,0.0,47.211,0.670327
20260506_153602,CNN1D,SWAT,42,original,0.0,1.0,0.0,0.0,7.327,0.174805
20260506_153602,CNN1D,SWAT,42,noisy,0.0,1.0,0.0,0.0,7.45,0.175721
20260506_153602,Automata,SWAT,42,original,0.0,0.9444,0.0,0.0,0.521,0.134971
20260506_153602,Automata,SWAT,42,noisy,0.0,0.8958,0.0,0.0,0.423,0.155473
