run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time,unseen_rate,statistic,p_value
20260601_113125,LSTM,SKAB,42,original,0.5544383284123533,0.561122244488978,0.7222227814426313,0.561122244488978,10.824,0.089135,,,
20260601_113125,LSTM,SKAB,42,noisy,0.5561394372178246,0.5626809173903362,0.7237518472901368,0.5626809173903362,10.824,0.07757,,,
20260601_113125,LSTM,SKAB,42,unseen,0.6125193834690348,0.6069917613003786,0.7108932103477791,0.6069917613003786,10.824,0.091083,,,
20260601_113125,GRU,SKAB,42,original,0.473593423977095,0.5101313738588288,0.772053675523236,0.5101313738588288,15.218,0.096215,,,
20260601_113125,GRU,SKAB,42,noisy,0.4788875376521345,0.5128033845468715,0.7650111100698889,0.5128033845468715,15.218,0.090146,,,
20260601_113125,GRU,SKAB,42,unseen,0.5576913275944327,0.561122244488978,0.706655669588886,0.561122244488978,15.218,0.131363,,,
20260601_113125,CNN1D,SKAB,42,original,0.4324554530561501,0.47562875584242154,0.7189813187225401,0.47562875584242154,5.783,0.082395,,,
20260601_113125,CNN1D,SKAB,42,noisy,0.4342113818937697,0.4740707767638549,0.7020733075056778,0.4740707767638549,5.783,0.082125,,,
20260601_113125,CNN1D,SKAB,42,unseen,0.47817815897929394,0.4952147785444024,0.6624435884840245,0.4952147785444024,5.783,0.074768,,,
20260601_113125,Automata,SKAB,42,original,0.5269900313776835,0.6484079269650412,0.503906584359926,0.6484079269650412,0.251,0.085376,,,
20260601_113125,Automata,SKAB,42,noisy,0.5283729322225813,0.6475172567356936,0.5107243331285898,0.6475172567356936,0.251,0.077566,,,
20260601_113125,Automata,SKAB,42,unseen,0.5789278274804383,0.5989757292362503,0.5696195662320267,0.5989757292362503,0.251,0.082057,0.0027,,
20260601_113125,LSTM,SKAB,123,original,0.29791297609119083,0.4016922734357604,0.7551087228454614,0.4016922734357604,8.474,0.130646,,,
20260601_113125,LSTM,SKAB,123,noisy,0.3015185611591469,0.40325094633711867,0.7501772279951642,0.40325094633711867,8.474,0.112687,,,
20260601_113125,LSTM,SKAB,123,unseen,0.44078059342194326,0.47717657537296815,0.6966961461871362,0.47717657537296815,8.474,0.101139,,,
20260601_113125,GRU,SKAB,123,original,0.2938423631743288,0.400356268091739,0.7670778894214791,0.400356268091739,11.25,0.119757,,,
20260601_113125,GRU,SKAB,123,noisy,0.30452079283853967,0.40570028946782455,0.7610397065809074,0.40570028946782455,11.25,0.093389,,,
20260601_113125,GRU,SKAB,123,unseen,0.43445294309233573,0.4627031841460699,0.6409721395927118,0.4627031841460699,11.25,0.105486,,,
20260601_113125,CNN1D,SKAB,123,original,0.48515589558468614,0.5050077898953929,0.6887276227317316,0.5050077898953929,8.183,0.082618,,,
20260601_113125,CNN1D,SKAB,123,noisy,0.4875723277850736,0.5063432005341643,0.6870098241262708,0.5063432005341643,8.183,0.097631,,,
20260601_113125,CNN1D,SKAB,123,unseen,0.5172529978703502,0.5199198753616737,0.6489543057716215,0.5199198753616737,8.183,0.096091,,,
20260601_113125,Automata,SKAB,123,original,0.5269900313776835,0.6484079269650412,0.503906584359926,0.6484079269650412,0.271,0.111371,,,
20260601_113125,Automata,SKAB,123,noisy,0.5269292059080501,0.6468492540636829,0.5028339425661537,0.6468492540636829,0.271,0.068654,,,
20260601_113125,Automata,SKAB,123,unseen,0.5635310771321675,0.5865063460253841,0.5524997177112996,0.5865063460253841,0.271,0.069687,0.0024,,
20260601_113125,LSTM,SKAB,2026,original,0.4595195776310268,0.4932086395012247,0.7207370371120092,0.4932086395012247,10.64,0.122608,,,
20260601_113125,LSTM,SKAB,2026,noisy,0.46168001085617894,0.4947673124025829,0.721576535828817,0.4947673124025829,10.64,0.109079,,,
20260601_113125,LSTM,SKAB,2026,unseen,0.5264848830802672,0.5350701402805611,0.6931818564493759,0.5350701402805611,10.64,0.101525,,,
20260601_113125,GRU,SKAB,2026,original,0.22328338290480793,0.3642841238031619,0.778755196317885,0.3642841238031619,8.634,0.183699,,,
